resort,region,country,latitude,longitude,rating,beginner,intermediate,advanced,elev_base,elev_summit,elev_vertical,longest_run,snow_making,lifts_double,lifts_quad,lifts_surface,terrain_apres,terrain_family,terrain_allmnt,terrain_park,ratingcount
cannonsburg,michigan,usa,43.053917,-85.469749,3.2,0.35,0.5,0.15,850,1100,250,0.1,0,1,1,7,2.2,3.6,2.6,2.4,58
cascade-mountain,wisconsin,usa,43.493038,-89.51873,3.2,0.39,0.39,0,820,1280,460,1.1,175,2,2,3,2.3,3.8,2.8,2.5,55
castle-mountain,alberta,can,51.327347,-115.96574,3.2,NA,NA,NA,4626,7457,2831,4.3,0,2,0,3,2.2,3.7,2.7,2.3,20
cataloochee-ski-area,north-carolina,usa,35.562439,-83.089966,3.2,0.44,0.39,0,4660,5400,740,1,50,1,1,2,1.8,3.6,2.5,2.2,61
catamount-ski-ride-area,new-york,usa,44.459213,-73.872368,3.2,0.36,0.44,0.14,1000,2000,1000,2,130,2,1,3,2.2,3.7,2.7,2.4,53
chestnut-mountain-resort,illinois,usa,42.319016,-90.393791,3.3,0.3,0.4,0.2,565,1040,475,0.2,139,0,2,3,2.2,3.8,2.7,2.5,35
christie-mountain,wisconsin,usa,45.509094,-91.380821,3.3,0.37,0.23,0.3,1300,1650,350,0.8,41,1,0,5,2.2,3.8,2.9,2.5,14
christmas-mountain,wisconsin,usa,43.608929,-89.860191,3.1,0.4,0.4,0.2,1000,1250,250,0.4,40,2,0,3,2,3.7,2.7,2.3,11
coffee-mill-ski-snowboard-resort,minnesota,usa,44.363663,-92.043488,2.8,0.35,0.29,0.07,725,1150,425,1,35,2,0,1,1.5,3.3,2.3,2.1,6
cooper-spur,oregon,usa,45.411629,-121.60583,3,0.4,0.6,0,3500,4000,350,0.1,0,1,0,1,1.9,3.5,2.5,2.2,12
copper-mountain-resort,colorado,usa,39.501419,-106.15163,3.8,0.21,0.25,0.36,9703,12313,2601,1.7,364,4,0,8,3.2,4,3.7,3.7,121
cranmore-mountain-resort,new-hampshire,usa,44.05685,-71.099594,3.2,0.28,0.44,0.28,600,2000,1200,1,192,1,1,2,2,3.8,2.5,2.5,20
crested-butte-mountain-resort,colorado,usa,38.899773,-106.96543,3.9,0.26,0.57,0.14,9100,12162,3062,2.6,297,2,2,5,3.3,3.9,3.7,3.3,72
crotched-mountain,new-hampshire,usa,42.998417,-71.873688,3.2,0.28,0.4,0.32,1050,2066,1016,1.2,100,1,1,1,2.1,3.8,2.7,2.5,32
crystal-mountain,michigan,usa,44.51939,-85.990906,3.4,0.22,0.48,0.3,757,1132,375,0.3,96,1,3,2,2.3,3.7,3.2,2.8,34
crystal-mountain-wa,washington,usa,46.928165,-121.50453,3.3,0.11,0.54,0.32,4400,7012,3100,2.5,10,2,1,1,2.2,3.7,2.9,2.3,88
cypress-mountain,british-columbia,can,49.396019,-123.20454,3.2,NA,NA,NA,3012,4751,2001,2.5,82,2,2,0,2.1,3.6,2.7,2.3,21
dartmouth-skiway,new-hampshire,usa,43.787746,-72.099541,3.2,0.21,0.5,0.25,974,1943,969,1.1,54,1,1,2,2,3.7,2.6,2.1,5
deer-mountain-ski-resort,south-dakota,usa,44.3091881143695,-103.81351455071506,3,0.29,0.48,0.24,6040,6850,940,1.6,50,1,0,2,2,3.6,2.5,2.1,10
deer-valley-resort,utah,usa,40.637352,-111.47828,4.2,0.27,0.41,0.27,6570,9570,3000,2.8,670,2,1,0,3.9,4.1,4,3.1,74
devils-head,wisconsin,usa,43.418003,-89.6269,3.2,0.3,0.4,0.3,495,995,500,1,260,6,3,2,2.2,3.7,2.7,2.4,83
diamond-peak,nevada,usa,39.254482,-119.91397,3.2,0.1,0.42,0.48,6700,8540,1840,2.5,492,3,2,1,2.1,3.7,2.7,2.3,22
discovery-ski-area,montana,usa,46.249615,-113.23845,3.1,0.2,0.25,0.25,5770,8150,2380,1.5,19,2,0,1,1.9,3.7,2.6,2.2,18
dodge-ridge,california,usa,38.139362,-120.02241,3.3,0.2,0.4,0.4,6600,8200,1600,2,0,5,1,4,2.2,3.8,2.8,2.5,63
donner-ski-ranch,california,usa,39.318256,-120.33009,3.4,0.25,0.5,0.25,7031,8012,750,1.5,60,5,0,2,2.3,3.9,2.8,2.3,71
